,Series_Title,Released_Year,Certificate,Overview,Director,Star1
670,Misery,1990,R,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,James Caan
671,Awakenings,1990,U,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Penny Marshall,Robert De Niro
672,Majo no takkyûbin,1989,U,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Hayao Miyazaki,Kirsten Dunst
673,Glory,1989,R,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Edward Zwick,Matthew Broderick
674,Dip huet seung hung,1989,R,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,John Woo,Yun-Fat Chow
675,Back to the Future Part II,1989,U,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Robert Zemeckis,Michael J. Fox
676,Mississippi Burning,1988,A,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Alan Parker,Gene Hackman
677,Predator,1987,A,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan,Arnold Schwarzenegger
678,Evil Dead II,1987,A,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Sam Raimi,Bruce Campbell
679,Ferris Bueller's Day Off,1986,U,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",John Hughes,Matthew Broderick
680,Down by Law,1986,R,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Jim Jarmusch,Tom Waits
681,The Goonies,1985,U,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Richard Donner,Sean Astin
682,The Color Purple,1985,U,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Steven Spielberg,Danny Glover
683,The Breakfast Club,1985,UA,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,John Hughes,Emilio Estevez
684,The Killing Fields,1984,UA,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",Roland Joffé,Sam Waterston
685,Ghostbusters,1984,UA,Three former parapsychology professors set up shop as a unique ghost removal service.,Ivan Reitman,Bill Murray
686,The Right Stuff,1983,PG,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Philip Kaufman,Sam Shepard
687,The King of Comedy,1982,U,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",Martin Scorsese,Robert De Niro
688,E.T. the Extra-Terrestrial,1982,U,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Steven Spielberg,Henry Thomas
689,Kramer vs. Kramer,1979,A,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",Robert Benton,Dustin Hoffman
690,Days of Heaven,1978,PG,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,Terrence Malick,Richard Gere
691,The Outlaw Josey Wales,1976,A,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,Clint Eastwood,Clint Eastwood
692,The Man Who Would Be King,1975,PG,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.",John Huston,Sean Connery
693,The Conversation,1974,U,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",Francis Ford Coppola,Gene Hackman
694,La planète sauvage,1973,U,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",René Laloux,Barry Bostwick
695,The Day of the Jackal,1973,A,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Fred Zinnemann,Edward Fox
696,Badlands,1973,PG,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,Terrence Malick,Martin Sheen
697,Cabaret,1972,A,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,Bob Fosse,Liza Minnelli
698,Willy Wonka & the Chocolate Factory,1971,U,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Mel Stuart,Gene Wilder
699,Midnight Cowboy,1969,A,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",John Schlesinger,Dustin Hoffman
700,Wait Until Dark,1967,,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Terence Young,Audrey Hepburn
701,Guess Who's Coming to Dinner,1967,,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Stanley Kramer,Spencer Tracy
702,Bonnie and Clyde,1967,A,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",Arthur Penn,Warren Beatty
703,My Fair Lady,1964,U,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,George Cukor,Audrey Hepburn
704,Mary Poppins,1964,U,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Robert Stevenson,Julie Andrews
705,The Longest Day,1962,G,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",Ken Annakin,Andrew Marton
706,Jules et Jim,1962,,Decades of a love triangle concerning two friends and an impulsive woman.,François Truffaut,Jeanne Moreau
707,The Innocents,1961,A,A young governess for two children becomes convinced that the house and grounds are haunted.,Jack Clayton,Deborah Kerr
708,À bout de souffle,1960,U,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Jean-Luc Godard,Jean-Paul Belmondo
709,Red River,1948,Passed,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Howard Hawks,Arthur Rosson
710,Key Largo,1948,,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",John Huston,Humphrey Bogart
711,To Have and Have Not,1944,PG,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",Howard Hawks,Humphrey Bogart
712,Shadow of a Doubt,1943,PG,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",Alfred Hitchcock,Teresa Wright
713,Stagecoach,1939,Passed,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,John Ford,John Wayne
714,The Lady Vanishes,1938,,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",Alfred Hitchcock,Margaret Lockwood
715,Bringing Up Baby,1938,Passed,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Howard Hawks,Katharine Hepburn
716,Bride of Frankenstein,1935,,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",James Whale,Boris Karloff
717,Duck Soup,1933,,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Leo McCarey,Groucho Marx
718,Scarface: The Shame of the Nation,1932,PG,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",Howard Hawks,Richard Rosson
719,Frankenstein,1931,Passed,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,James Whale,Colin Clive
720,Roma,2018,R,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,Alfonso Cuarón,Yalitza Aparicio
721,God's Own Country,2017,,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",Francis Lee,Josh O'Connor
722,Deadpool 2,2018,R,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,Ryan Reynolds
723,Wind River,2017,R,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Taylor Sheridan,Kelsey Asbille
724,Get Out,2017,R,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Jordan Peele,Daniel Kaluuya
